,1,そよ風のマーチ,そよかぜのまーち,マーチ,課題曲,
,2,マーチ「カタロニアの栄光」,まーちかたろにあのえいこう,マーチ,課題曲,
,3,行進曲「SLが行く」,こうしんきょくえすえるがゆく,マーチ,課題曲,
,4,あの丘をこえて,あのおかをこえて,オリジナル,課題曲,
,5,士官候補生,しかんこうほせい,マーチ,,
,6,Emblem of Unity,えんぶれむおぶゆにてぃ,マーチ,M8,
,7,祝典行進曲,しゅくてんこうしんきょく,マーチ,,
,8,Mercury,まーきゅりー,マーチ,,
,9,Transformation,とらんすふぉーめーしょん,オリジナル,,
,10,Beauty and the Beast,びゅーてぃーあんどびーすと,ディズニー,,
,11,The Little Mermaid,ざりとるまーめいど,ディズニー,,
,12,ディズニーメドレー,でぃずにーめどれー,ディズニー,,メドレー
,13,ディズニーメドレーⅡ,でぃずにーめどれーⅡ,ディズニー,,メドレー
,14,ディズニーメドレーⅢ,でぃずにーめどれーⅢ,ディズニー,,メドレー
,15,虹の彼方に,虹の彼方に,オリジナル,,
,16,踊り明かそう,おどりあかそう,映画,,
,17,スパイ大作戦のテーマ,すぱいだいさくせんのてーま,映画,,
,18,バックドラフトメドレー,ばっくどらふとめどれー,映画,,メドレー
,19,ハリウッド万歳,はりうっどばんざい,映画,,
,20,サンダーバード,さんだーばーど,オリジナル,,
,21,君の瞳に恋してる,きみのひとみにこいしてる,ポップス,,
,22,Back To The Future,ばっくとぅざふゅーちゃー,映画,,
,23,Indiana Jones and the Temple of Doom,いんでぃーじょーんずあんどざてんぷるおぶどーむ,映画,,
,24,序曲「春の猟犬」,じょきょくはるのりょうけん,オリジナル,,
,25,「威風堂々」第一番,いふうどうどうだいいちばん,マーチ,,
,26,アフリカン・シンフォニー,あふりかんしんふぉにー,オリジナル,,
,27,"Jesu, Joy of Man's Desiring",あるじよひとののぞみのよろこびよ,オリジナル,,
,28,elsa's procession to the cathdral,えるざのだいせいどうへのこうしん,オリジナル,,
,29,,,,,
,30,ゴールデン・ジュビリー,ごーるでんじゅびりー,オリジナル,,
,31,幸せの黄色いリボン,しあわせのきいろいりぼん,ポップス,,
,32,私のお気に入り,わたしのおきにいり,映画,,
,33,Yesterday Once More,いえすたでいわんすもあ,ポップス,,
,34,"Ob-La-Di, Ob-La-Da",おぶらでぃおぶらだ,ポップス,,
,35,The Beatls forever,ざびーとるずふぉーえばー,ポップス,,メドレー
,36,In The Mood,いんざむーど,ジャズ,,
,37,Can-Can You Name These Tunes?,かんかんなんきょくわかるかな,,,
,38,きらきら星変奏曲,きらきらぼしへんそうきょく,オリジナル,,
,39,Alvamer Overture,あるばーなじょきょく,オリジナル,,
,40,Instant Concert,いんすたんとこんさーと,オリジナル,,
,41,星条旗よ永遠なれ,せいじょうきよえいえんなれ,マーチ,,
,42,鉄腕アトム,てつわんあとむ,ポップス,,
,43,ゆかいな仲間の行進曲,ゆかいななかまのこうしんきょく,マーチ,課題曲,
,44,はるか、大地へ,はるかだいちへ,オリジナル,課題曲,
,45,雲のコラージュ,くものこらーじゅ,オリジナル,課題曲,
,46,ターンブル・マーチ,たーんぶるまーち,マーチ,課題曲,
,47,ジャンダルム,じゃんだるむ,マーチ,課題曲,
,48,アップルマーチ,あっぷるまーち,マーチ,課題曲,
,49,宮崎駿アニメファンタジー,みやざきはやおあにめふぁんたじー,ジブリ,,メドレー
,50,A Whole New World,あほーるにゅーわーるど,ディズニー,,
,51,フックト・オン・アメリカ,ふっくとおんあめりか,オリジナル,,
,52,フックト・オン・クラシック,ふっくとおんくらしっく,オリジナル,,
,53,ロマネスク,ろまねすく,オリジナル,,
,54,ウエスト・サイドストーリー・メドレー,うえすとさいどすとーりーめどれー,映画,,メドレー
,55,威風堂々,いふうどうどう,マーチ,,
,56,クリスマス・ディスコ・キャロル,くりすますでぃすこきゃろる,オリジナル,,
,57,The Planets 4th Movement Jupiter,くみきょくわくせいよりもくせい,オリジナル,,
,58,テキーラ,てきーら,オリジナル,,
,59,青銅の騎士,せいどうのきし,オリジナル,,組曲
,60,Jupiter,もくせい,オリジナル,,
,61,美中の美,びちゅうのび,マーチ,,
,62,アメージング・グレース,あめーじんぐぐれーす,オリジナル,,
,63,瞳をとじて,ひとみをとじて,ポップス,,
,64,マツケンサンバⅡ,まつけんさんば,ポップス,,
,65,くちばしにチェリー,くちばしにちぇりー,ポップス,,
,66,The Phantom of the Opera,おぺらざのかいじん,オリジナル,,
,67,宝島,たからじま,オリジナル,,
,68,76本のトロンボーン,ななじゅうろくほんのとろんぼーん,オリジナル,,
,69,Let's Swing!!,れっつすうぃんぐ,オリジナル,,
,70,Sky High,すかいはい,ポップス,,
,71,POP STER,ぽっぷすたー,ポップス,,
,72,戦場のメリークリスマス,せんじょうのめりーくりすます,映画,,
,73,銀河と迷路,ぎんがとめいろ,ポップス,,
,74,Tank!,たんく,ポップス,,
,75,五月の風,ごがつのかぜ,オリジナル,,
,76,The Washinto Post March,わしんとんぽすと,マーチ,,
,77,情熱大陸,じょうねつたいりく,オリジナル,,
,78,ムーンライト・セレナーデ,むーんらいとせれなーで,ジャズ,,
,79,Interzzo from Cavalleria Rusicana,かヴぁれりあ・るすてぃかーな,オリジナル,,
,80,キセキ,きせき,ポップス,,
,81,桜,さくら,ポップス,,
,82,卒業写真,そつぎょうしゃしん,ポップス,,
,83,翠の並木道,,,,
,84,Al Compas dell Manbo,まんぼのしゅくさい,マンボ,,
,85,コンサートマーチ「ストレート・ロード」,こんさーとまーちすとれーとろーど,マーチ,,
,86,September,せぷてんばー,ポップス,,
,87,Gelatovcon caffe,じぇらーとこんかふぇ,オリジナル,,
,88,The Sevevth Night of July,たなばた,オリジナル,,
,89,Flashing Winds,ふらっしんぐうぃんず,オリジナル,,
,90,コンサートマーチ「テイク・オフ」,こんさーとまーちてーくおふ,マーチ,課題曲,
,91,March 'Dreamlilce Sketch',,,,
,92,L-O-V-E,らヴ,ジャズ,,
,93,Tomorrow never knews,とぅもろーねばーのうず,ポップス　,,
,94,,,,,
,95,,,,,
,96,,,,,
,97,,,,,
,98,,,,,
,99,,,,,
,100,,,,,
,101,,,,,
,102,,,,,
,103,,,,,
,104,,,,,
,105,,,,,
,106,,,,,
,107,,,,,
,108,,,,,
,109,,,,,
,110,,,,,
,111,,,,,
,112,,,,,
,113,,,,,
,114,,,,,
,115,,,,,
,116,,,,,
,117,,,,,
,118,,,,,
,119,,,,,
,120,,,,,
,121,,,,,
,122,,,,,
,123,,,,,
,124,,,,,
,125,,,,,
,126,,,,,
,127,,,,,
,128,,,,,
,129,,,,,
,130,,,,,
,131,,,,,
,132,,,,,
,133,,,,,
,134,,,,,
,135,,,,,
,136,,,,,
,137,,,,,
,138,,,,,
,139,,,,,
,140,,,,,
,141,,,,,
,142,,,,,
,143,,,,,
,144,,,,,
,145,,,,,
,146,,,,,
,147,,,,,
,148,,,,,
,149,,,,,
,150,,,,,
,151,,,,,
,152,,,,,
,153,,,,,
,154,,,,,
,155,,,,,
,156,,,,,
,157,,,,,
,158,,,,,
,159,,,,,
,160,,,,,
,161,,,,,
,162,,,,,
,163,,,,,
,164,,,,,
,165,,,,,
,166,,,,,
,167,,,,,
,168,,,,,
,169,,,,,
,170,,,,,
,171,,,,,
,172,,,,,
,173,,,,,
,174,,,,,
,175,,,,,
,176,,,,,
,177,,,,,
,178,,,,,
,179,,,,,
,180,,,,,
,181,,,,,
,182,,,,,
,183,,,,,
,184,,,,,
,185,,,,,
,186,,,,,
,187,,,,,
,188,,,,,
,189,,,,,
,190,,,,,
,191,,,,,
,192,,,,,
,193,,,,,
,194,,,,,
,195,,,,,
,196,,,,,
,197,,,,,
,198,,,,,
,199,,,,,
,200,,,,,
,201,,,,,
,202,,,,,
,203,,,,,
,204,,,,,
,205,,,,,
,206,,,,,
,207,,,,,
,208,,,,,
,209,,,,,
,210,,,,,
,211,,,,,
,212,,,,,
,213,,,,,
,214,,,,,
,215,,,,,
,216,,,,,
,217,,,,,
,218,,,,,
,219,,,,,
,220,,,,,
,221,,,,,
,222,,,,,
,223,,,,,
,224,,,,,
,225,,,,,
